Category,Vendor Name,Contact Name,Address,Website,Phone,Email,Instagram,Facebook,Pricing Notes,Capacity/Service Area,Preferred by THEOS?
Photography,Degrees North Images,,"Galveston, TX",https://www.degreesnorthimages.com,,,,,,Galveston & Texas Coast,
Photography,Plan-It Ink Photography,,"Galveston, TX",,,,,,,Galveston,
Florist,Petal + Shine Floral & Event Design,,"Galveston, TX",https://petalandshine.com,,,,,,Galveston + Houston,
Florist,Bennett Floral,,"3914 Broadway Ave J, Galveston, TX",https://www.bennettfloral.com,,,,,,Galveston Island,
Florist,Knapp Flower Shop,,"Galveston, TX",,,,,,,Galveston Island,
Catering,Chopin Mon Ami Catering,,"Galveston, TX",https://www.cmacatering.com,,,,,,Galveston & surrounding,
Catering,Benno's Catering (Benno's of Galveston),,"Galveston, TX",https://www.bennosofgalveston.com,,,,,,Galveston Island,
Beauty,Salty Skin + Hair,,"Galveston, TX",https://www.saltyskinandhair.com,,,,,,Galveston Island & coastal,
Beauty,La Moda Salon & Day Spa,,"Galveston, TX",,,,,,,Galveston Island,
Beauty,Atmosphere The Salon & Spa,,"Galveston, TX",,,,,,,Galveston Island,
Officiant,Weddings by Lee Ann,,"Galveston, TX",,,,,,,Galveston Beaches & Venues,
Officiant,Barefoot Weddings Officiant,,"Galveston, TX",https://www.barefootweddingsgalveston.com,,,,,,Galveston Beaches,
Officiant,My Island Weddings Officiant,,"Galveston, TX",https://www.myislandweddings.com,,,,,,Galveston Beaches,
Rentals,Tour de Tents,,"Galveston, TX",,,,,,,Galveston Island,
Rentals,On Cloud9 Event Rentals,,"Galveston, TX",,,,,,,Galveston & Coastal,
Planner,Keely Thorne Events,,"Houston, TX",https://keelythorne.com,,,@keelythorneevents,,"High-end planning; Houston + destination, confirm Galveston service",Houston + destination,
Planner,Two Be Wed,,"Houston, TX",https://twobewed.com,,,@twobewed,,"Boutique planning studio; often coastal/destination, confirm Galveston",Houston + TX Gulf Coast,
Planner,Belle of the Ball Premier Weddings & Events,,"Houston, TX",https://belleoftheballtx.com,,,@belleoftheballtx,,Full-service luxury planning; confirm Galveston,Houston + beyond,
Planner,Whimsical Events,,"Houston, TX",https://whimsicaleventstx.com,,,@whimsicaleventstx,,Planning + coordination; known across Houston area,Houston metro,
Planner,Chancey Charm Weddings – Houston,,"Houston, TX",https://www.chanceycharmweddings.com/houston,,,@chanceycharmweddings,,"National brand; Houston planner branch, confirm Galveston",Houston + destination,
Planner,Something To Celebrate – Houston,,"Houston, TX",https://somethingtocelebrate.com/houston,,,@stcweddings,,"Planning + design, Texas-wide; confirm Galveston",Texas,
Planner,Epoch Events,,"Houston, TX",https://epocheventsco.com,,,@epocheventsco,,Modern planning/coordination; likely to travel,Houston + surrounding,
Photography,Civic Photos,,"Houston, TX",https://civicphotos.com,,,@civicphotos,,Wedding & editorial photography; often shoots in Galveston area,Houston + Galveston + destination,
Photography,Mustard Seed Photography,,"Houston, TX",https://mustardseedphoto.com,,,@mustardseedphoto,,"Light, airy style; Houston-based, confirm Galveston",Houston + beyond,
Photography,Kasey Lynn Photography,,"Houston, TX",https://kaseylynn.com,,,@kaseylynnphotography,,Weddings & engagements; coastal sessions possible,Houston + Gulf Coast,
Photography,Nate Messarra Photography,,"Houston, TX",https://www.natemessarra.com,,,@natemessarra,,Documentary-style weddings; often travels,Houston + destination,
Photography,Ama by Aisha,,"Houston, TX",https://amabyaisha.com,,,@amabyaisha,,"High-end, fashion-forward weddings; confirm Galveston",Houston + destination,
Florist,Blooming Gallery,,"Houston, TX",https://bloominggallery.com,,,@bloominggallery,,Event & wedding florals; potential Galveston service,Houston metro,
Florist,Plants N' Petals,,"Houston, TX",https://plantsnpetals.net,,,@plantsnpetalshouston,,Luxury wedding & event florals; confirm Galveston,Houston + beyond,
Florist,Flora & Eventi,,"Houston, TX",https://floraandeventi.com,,,@floraandeventi,,Wedding/event florist; travel possible,Houston + TX coast,
Catering,A Fare Extraordinaire,,"Houston, TX",https://afareshouston.com,,,@afareshouston,,Full-service luxury catering; confirm Galveston,Houston + surroundings,
Catering,Jackson & Company,,"Houston, TX",https://jacksonandcompany.com,,,@jacksonandcompany,,Upscale catering; often works at museums & historic venues,Houston region,
Catering,Café Natalie Catering,,"Houston, TX",https://cafenatalie.com,,,@cafenatalie,,Popular large-capacity caterer; possible Galveston events,Houston metro,
Rentals,Any Occasion Tents & Events,,"Houston, TX",https://anyoccasionhouston.com,,,@anyoccasionhouston,,"Tents, tables, chairs, linens, decor; commonly used for coastal events",Houston + Gulf Coast,
Rentals,Aztec Events & Tents,,"Houston, TX",https://www.aztecusa.com,,,@azteceventsandtents,,Large-scale tenting & event rentals; confirm Galveston projects,Houston + wider region,
Rentals,A Finer Event,,"Houston, TX",https://afiner-event.com,,,@afinerevent,,Wedding rentals; referenced by coastal venues,Houston + coastal,
Rentals,Party Time Rentals,,"Houston Area, TX",https://www.partytime rentals.com,,,,,General party rentals; confirm Galveston,Houston area,
DJ/Entertainment,LG Event Entertainment & Production,,"Houston, TX",https://lgevententertainment.com,,,@lgevententertainment,,"DJ, lighting, production; known across Houston area",Houston + destination,
DJ/Entertainment,DJU Productions,,"Houston, TX",https://djuproductions.com,,,@dju_productions,,DJ + MC + lighting; confirm Galveston events,Houston metro,
DJ/Entertainment,Johnny Black Productions,,"Houston, TX",https://johnnyblackproductions.com,,,@johnnyblackproductions,,DJ & entertainment for weddings; travel possible,Houston + beyond,
Beauty,Hey Lovely Makeup,,"Houston, TX",https://heylovelymakeup.com,,,@heylovelymakeup,,Bridal beauty team; frequently travels for weddings,Houston + Texas,
Beauty,Blushworthy,,"Houston, TX",https://blushworthymakeup.com,,,@blushworthymakeup,,On-site bridal makeup; confirm Galveston,Houston area,
Photo Booth,ShutterBooth Houston,,"Houston, TX",https://shutterbooth.com/houston,,,@shutterboothhouston,,Photo booth services; travel to venues,Houston + surroundings,
Photo Booth,Mint Photo Booth,,"Houston, TX",https://mintphotobooth.com,,,@mintphotobooth,,Modern photo booths; confirm Galveston,Houston metro,
